dateiname	speicherzeit
rk20150728_2bvr255814	2017-08-31 12:21:20GMT
rk20161117_1bvr247212	2017-08-31 11:55:50GMT
rk20170816_1bvr158417	2017-09-19 12:47:22GMT
rk20170125_1bvr229710	2017-08-31 11:52:30GMT
rk20120628_1bvr295208	2017-08-31 12:57:02GMT
rk20060814_1bvr208905	2017-08-31 10:49:32GMT
rk19990726_2bvr076199	2017-08-31 09:10:22GMT
rk19980505_1bvr138494	2017-08-31 09:28:14GMT
rk20030505_1bvr235702	2017-08-31 11:37:02GMT
qk20170321_2bvq000217	2017-08-31 11:49:50GMT
rk19990813_2bvr144299	2017-08-31 09:09:26GMT
qk20090731_2bvq004509	2017-08-31 10:05:34GMT
qk20021116_1bvq004702	2017-08-31 08:08:08GMT
rk20010406_2bvr012900	2017-08-31 08:37:48GMT
rk20050329_2bvr161003	2017-08-31 11:09:18GMT
rk20171024_1bvr276212	2018-03-07 13:56:33GMT
cs20090303_2bvc000307	2017-08-31 10:12:50GMT
rk19990205_1bvr070995	2017-08-31 09:18:18GMT
rk20090318_2bvr022909	2017-08-31 10:11:58GMT
rk20101014_1bvr036409	2017-08-31 13:23:50GMT
ls20090512_2bvl000100	2017-08-31 10:09:34GMT
rk20080901_2bvr093908	2017-08-31 10:21:52GMT
rk20170310_1bvr020114	2017-08-31 11:50:18GMT
rk20071212_1bvr035002	2017-08-31 10:33:08GMT
rk20170909_1bvr256015	2018-03-07 13:56:57GMT
rk20081217_1bvr017708	2017-08-31 10:15:56GMT
rk20031218_1bvr114003	2017-08-31 11:27:48GMT
rk19990329_1bvr029599	2017-08-31 09:14:48GMT
rk19980804_1bvr171194	2017-08-31 09:24:56GMT
fs20140401_2bvf000112	2017-08-31 12:37:06GMT
rk20011002_1bvr137201	2017-08-31 08:29:04GMT
rk20050307_2bvr137802	2017-08-31 11:10:26GMT
rk20010411_1bvr164697	2017-08-31 08:37:42GMT
rk20011211_1bvr182101	2017-08-31 08:25:08GMT
ls20140723_1bvl001012	2017-08-31 12:34:16GMT
rk20090630_1bvr047009	2017-08-31 10:07:06GMT
rk20170928_1bvr151017	2018-03-07 13:59:16GMT
rk20161108_1bvr323713	2017-08-31 11:56:20GMT
rk20100816_2bvr176210	2017-08-31 13:27:26GMT
qk20161013_1bvq004216	2017-08-31 11:57:32GMT
rk20120515_1bvr282109	2017-08-31 12:59:32GMT
rk20100325_1bvr088209	2017-08-31 13:33:18GMT
rk20161108_1bvr093514	2017-08-31 11:56:30GMT
rk20141009_1bvr233514	2017-08-31 12:31:42GMT
rk20011023_2bvr100701	2017-08-31 08:27:56GMT
rk20110517_2bvr094211	2017-08-31 13:15:04GMT
rk20080225_2bvr027403	2017-08-31 10:28:56GMT
rk20050921_2bvr133805	2017-08-31 11:02:34GMT
rk20121218_1bvr150910	2017-08-31 12:51:10GMT
rk20020716_2bvr191298	2017-08-31 08:13:38GMT
rk20100727_2bvr212209	2017-08-31 13:28:14GMT
rk19991119_2bvr179394	2017-08-31 09:05:46GMT
rk20161108_1bvr231715	2017-08-31 11:56:24GMT
rk20120413_2bvr138410	2017-08-31 13:00:58GMT
rs20120620_2bvr104811	2017-08-31 12:57:26GMT
rk20150624_1bvr136015	2017-08-31 12:23:34GMT
rk20010404_2bvr236899	2017-08-31 08:37:58GMT
rk20150430_1bvr227412	2017-08-31 12:25:24GMT
rk20100708_2bvr177109	2017-08-31 13:29:16GMT
rk20151015_1bvr179013	2017-08-31 12:16:32GMT
rk20090806_1bvr028109	2017-08-31 10:05:18GMT
rk20060504_2bvr012003	2017-08-31 10:54:24GMT
rk20100426_2bvr217904	2017-08-31 13:32:04GMT
qk20091209_2bvq008409	2017-08-31 09:59:32GMT
fs20120725_2bvf000311	2017-08-31 12:56:08GMT
rk20081215_2bvr249508	2017-08-31 10:16:18GMT
rk20000614_2bvr099394	2017-08-31 08:54:22GMT
rk20070416_2bvr072507	2017-08-31 10:40:16GMT
rk20121101_2bvr123511	2017-08-31 12:53:40GMT
rs19980929_2bvr179094	2017-08-31 09:23:12GMT
rk20160324_1bvr057516	2017-08-31 12:09:42GMT
rk20020911_2bvr039702	2017-08-31 08:11:16GMT
rs19980831_1bvr165194	2017-08-31 09:24:00GMT
rk20120228_1bvr311611	2017-08-31 13:02:58GMT
rs20150630_2bvr128211	2017-08-31 12:23:04GMT
rk20030611_1bvr179602	2017-08-31 11:34:54GMT
rk19990408_1bvr149892	2017-08-31 09:14:14GMT
rk20151006_2bvr251512	2017-08-31 12:17:48GMT
rk20130128_2bvr191212	2017-08-31 12:50:14GMT
rk20150223_2bvr235612	2017-08-31 12:27:48GMT
ls20061107_1bvl001002	2017-08-31 10:45:46GMT
rk20090610_1bvr110709	2017-08-31 10:08:22GMT
rk20041209_2bvr093004	2017-08-31 11:13:06GMT
rk20010731_1bvr106100	2017-08-31 08:32:46GMT
rk20011107_1bvr032594	2017-08-31 08:26:58GMT
rk20100512_1bvr263604	2017-08-31 13:31:24GMT
rk20110719_2bvr241310	2017-08-31 13:12:32GMT
rk20160610_1bvr074216	2017-08-31 12:05:26GMT
rk20090224_1bvr016509	2017-08-31 10:13:36GMT
rk20020307_1bvr132100	2017-08-31 08:19:24GMT
rk20170928_1bvr156016	2018-03-07 13:59:18GMT
qk20100204_2bvq000510	2017-08-31 09:57:44GMT
rk20090706_2bvr070309	2017-08-31 10:06:34GMT
rk20170904_1bvr244316	2018-03-07 13:56:01GMT
rk19980615_1bvr050497	2017-08-31 09:26:44GMT
rk20151216_2bvr234915	2017-08-31 12:13:50GMT
rk20061208_2bvr038505	2017-08-31 10:44:34GMT
rk20120220_1bvr235511	2017-08-31 13:03:12GMT
rk20160209_2bvr019916	2017-08-31 12:12:08GMT
cs20001009_2bvc000499	2017-08-31 08:48:02GMT
rk20111026_2bvr185610	2017-08-31 13:08:26GMT
rk19990722_1bvr070997	2017-08-31 09:10:28GMT
rk19981217_2bvr155698	2017-08-31 09:20:00GMT
rs20121127_1bvr129905	2017-08-31 12:52:08GMT
cs20160622_2bvc000215	2017-08-31 12:04:20GMT
rs20051025_1bvr169698	2017-08-31 11:01:54GMT
rk20110520_2bvr207210	2017-08-31 13:14:54GMT
rk20150819_1bvr000814	2017-08-31 12:20:28GMT
rs20040127_2bvr197800	2017-08-31 11:26:34GMT
rk20060425_1bvr032904	2017-08-31 10:54:52GMT
rk20160714_2bvr247414	2017-08-31 12:02:16GMT
rk20020220_2bvr212201	2017-08-31 08:20:08GMT
qk20140324_1bvq000914	2017-08-31 12:37:34GMT
rk20140128_1bvr057311	2017-08-31 12:39:34GMT
rk20081007_2bvr057807	2017-08-31 10:20:32GMT
rk20010330_1bvr041801	2017-08-31 08:38:26GMT
rk20000904_1bvr014296	2017-08-31 08:50:44GMT
rk20060222_2bvr165705	2017-08-31 10:57:12GMT
fs20171121_2bvf000113	2020-08-27 10:16:21GMT
lk19990827_1bvl001890	2017-08-31 09:08:50GMT
rk20051216_2bvr190405	2017-08-31 10:59:50GMT
rk20010606_1bvr085901	2017-08-31 08:35:28GMT
rs20110621_1bvr203507	2017-08-31 13:13:34GMT
rk20010314_1bvr240297	2017-08-31 08:39:42GMT
rk20030211_1bvr231402	2017-08-31 11:41:02GMT
rk20110822_1bvr257010	2017-08-31 13:11:36GMT
rk20090730_2bvr157509	2017-08-31 10:05:40GMT
rk20090504_1bvr225208	2017-08-31 10:10:08GMT
rk20010911_2bvr149101	2017-08-31 08:30:36GMT
rk20030205_1bvr010903	2017-08-31 11:41:30GMT
rk20170502_1bvr064517	2017-08-31 11:48:00GMT
rk20120416_2bvr194010	2017-08-31 13:00:42GMT
rk20061005_2bvr181506	2017-08-31 10:46:30GMT
rk20070606_2bvr097107	2017-08-31 10:38:28GMT
rk20100823_1bvr200210	2017-08-31 13:26:56GMT
ls20010522_1bvl000496	2017-08-31 08:36:10GMT
rk20010930_2bvr143901	2017-08-31 08:29:14GMT
rk20091015_1bvr233309	2017-08-31 10:01:34GMT
rk20111206_1bvr168111	2017-08-31 13:06:42GMT
rk20010810_2bvr128001	2017-08-31 08:32:06GMT
rk20051208_2bvr191605	2017-08-31 11:00:28GMT
rk20010131_1bvr116196	2017-08-31 08:42:16GMT
rk20041221_2bvr219704	2017-08-31 11:12:30GMT
rk20040319_1bvr013104	2017-08-31 11:23:12GMT
rk20101208_1bvr274310	2017-08-31 13:21:10GMT
rk20030522_1bvr045299	2017-08-31 11:35:56GMT
rk20010405_1bvr093294	2017-08-31 08:37:52GMT
rk20140620_1bvr345013	2017-08-31 12:35:30GMT
rk20030922_2bvr092201	2017-08-31 11:32:40GMT
rk20040329_1bvr049204	2017-08-31 11:22:44GMT
rk20060508_2bvr086006	2017-08-31 10:54:20GMT
rk20140908_1bvr278113	2017-08-31 12:32:32GMT
rk20080121_2bvr230707	2017-08-31 10:31:46GMT
rk20040729_1bvr073700	2017-08-31 11:16:48GMT
rk20010622_1bvr225499	2017-08-31 08:34:54GMT
rk20170801_1bvr191012	2017-09-19 12:47:32GMT
rs20051026_1bvr039698	2017-08-31 11:01:50GMT
rk20060208_2bvr057505	2017-08-31 10:58:00GMT
rk20170413_1bvr072817	2017-08-31 11:48:34GMT
rk20020329_2bvr130901	2017-08-31 08:17:56GMT
rk20080212_2bvr126207	2017-08-31 10:30:10GMT
lk20120912_1bvl001112	2017-08-31 12:55:14GMT
rk20060925_2bvr213205	2017-08-31 10:46:54GMT
rk20060622_2bvr209305	2017-08-31 10:51:56GMT
rs20140624_1bvr292613	2020-09-03 07:10:17GMT
rs20070703_1bvr218606	2017-08-31 10:36:36GMT
rk20160523_2bvr247715	2017-08-31 12:06:30GMT
rk19991119_2bvr116796	2017-08-31 09:05:40GMT
cs20170725_2bvc000317	2017-08-31 11:43:42GMT
rk20040414_2bvr149601	2017-08-31 11:21:54GMT
rk20161219_2bvr199715	2017-08-31 11:54:16GMT
rk19980226_1bvr084290	2017-08-31 09:31:58GMT
rk20041015_2bvr180204	2017-08-31 11:15:06GMT
rk20050829_1bvr021905	2017-08-31 11:03:24GMT
rk20020820_1bvr164400	2017-08-31 08:11:40GMT
rk20010925_2bvr244294	2017-08-31 08:29:54GMT
rk20000223_1bvr158294	2017-08-31 09:00:18GMT
rk20140108_2bvr233013	2017-08-31 12:40:30GMT
rk20170613_1bvr283215	2017-08-31 11:46:16GMT
rk20161206_1bvr204616	2017-08-31 11:55:14GMT
es20130116_2bve000312	2017-08-31 12:50:44GMT
rk20160527_1bvr034516	2017-08-31 12:06:20GMT
lk20100310_1bvl001107	2017-08-31 09:56:32GMT
rk19990326_1bvr143190	2017-08-31 09:14:50GMT
es20090617_2bve000307	2017-08-31 10:08:04GMT
rk19980624_1bvr038092	2017-08-31 09:26:22GMT
rk20020130_2bvr235100	2017-08-31 08:21:42GMT
rk20000823_1bvr103200	2017-08-31 08:51:30GMT
rk20000417_1bvr072199	2017-08-31 08:56:12GMT
rk19991126_1bvr065399	2017-08-31 09:05:16GMT
rk20150601_2bvr006715	2017-08-31 12:24:12GMT
cs20100225_2bvc000607	2017-08-31 09:56:58GMT
rk20150729_1bvr146815	2017-08-31 12:21:18GMT
rk20151027_2bvr307114	2017-08-31 12:16:00GMT
rk19980213_1bvr181295	2017-08-31 09:32:48GMT
rk20150211_1bvr016015	2017-08-31 12:28:04GMT
es20150602_2bve000711	2017-08-31 12:24:08GMT
rk19990920_1bvr016893	2017-08-31 09:07:44GMT
rk19980604_1bvr007498	2017-08-31 09:27:06GMT
rk20051227_1bvr172505	2017-08-31 10:59:40GMT
rs19980310_1bvr165194	2017-08-31 09:31:24GMT
ls19990428_1bvl001194	2017-08-31 09:13:30GMT
rk20100426_1bvr199109	2017-08-31 13:32:06GMT
rk20081211_1bvr166508	2017-08-31 10:16:26GMT
rk20111128_2bvr118111	2017-08-31 13:07:06GMT
rk20040420_1bvr061000	2017-08-31 11:21:36GMT
rk20120413_2bvr117510	2017-08-31 13:00:58GMT
rk20100225_1bvr023009	2017-08-31 09:56:56GMT
fs20130320_2bvf000105	2017-08-31 12:48:52GMT
rk20100312_1bvr078408	2017-08-31 13:33:52GMT
rk20040804_1bvr155701	2017-08-31 11:16:40GMT
rk20140702_1bvr054312	2017-08-31 12:34:46GMT
rk20120618_1bvr077410	2017-08-31 12:57:56GMT
rk20110630_1bvr036711	2017-08-31 13:13:08GMT
rk20110915_1bvr051910	2017-08-31 13:10:36GMT
rk20090925_2bvr111306	2017-08-31 10:02:32GMT
rk20140922_1bvr210814	2017-08-31 12:32:06GMT
rk20150416_2bvr227913	2017-08-31 12:26:10GMT
rk20111215_2bvr236211	2017-08-31 13:05:38GMT
rk20160713_1bvr114109	2017-08-31 12:02:36GMT
rk20080114_1bvr282207	2017-08-31 10:32:08GMT
rk20010227_2bvr206700	2017-08-31 08:40:26GMT
rk20011214_2bvr156594	2017-08-31 08:24:40GMT
cs20120131_2bvc000311	2017-08-31 13:04:10GMT
es20011002_2bve000297	2017-08-31 08:29:10GMT
rk20100611_2bvr304409	2017-08-31 13:30:14GMT
rk20020206_2bvr003702	2017-08-31 08:21:12GMT
rk20000110_1bvr042097	2017-08-31 09:02:48GMT
rk20090903_2bvr182609	2017-08-31 10:03:46GMT
rk20020516_1bvr011702	2017-08-31 08:16:16GMT
rk20150625_1bvr036615	2017-08-31 12:23:24GMT
rk20000623_1bvr083000	2017-08-31 08:54:04GMT
rk20081209_2bvr244404	2017-08-31 10:17:10GMT
rk20041116_2bvr200404	2017-08-31 11:14:22GMT
rk20070208_2bvr206006	2017-08-31 10:42:46GMT
rk20150305_2bvr074613	2017-08-31 12:27:14GMT
rk20090908_1bvr146409	2017-08-31 10:03:26GMT
rk20071217_2bvr198707	2017-08-31 10:33:00GMT
rk20121010_2bvr092211	2017-08-31 12:54:16GMT
rk20150804_1bvr151515	2017-08-31 12:21:06GMT
qk20000515_1bvq000800	2017-08-31 08:55:20GMT
lk19990825_1bvl000998	2017-08-31 09:08:56GMT
rk20091015_2bvr243808	2017-08-31 10:01:28GMT
rk20070829_1bvr122507	2017-08-31 10:35:32GMT
rk20131212_2bvr169013	2017-08-31 12:40:58GMT
rk20111022_2bvr187211	2017-08-31 13:09:18GMT
rk20030611_1bvr015803	2017-08-31 11:35:04GMT
rk20170328_1bvr138416	2017-08-31 11:49:22GMT
rk20150113_1bvr332314	2017-08-31 12:28:56GMT
rk20030130_1bvr086600	2017-08-31 08:01:58GMT
rk20061108_2bvr062003	2017-08-31 10:45:40GMT
rk20060316_2bvr011106	2017-08-31 10:56:16GMT
rk20170125_2bvr255716	2017-08-31 11:52:34GMT
rk20170823_2bvr169117	2017-09-19 12:48:40GMT
rk20021210_2bvr157000	2017-08-31 08:06:38GMT
rk20120227_1bvr002212	2017-08-31 13:03:06GMT
rk20100204_1bvr291809	2017-08-31 09:57:38GMT
rk19991119_1bvr201797	2017-08-31 09:05:34GMT
rk20031204_2bvr179903	2017-08-31 11:28:28GMT
qk20100218_2bvq000810	2017-08-31 09:57:14GMT
ls20080115_1bvl000204	2017-08-31 10:31:58GMT
rk20021017_2bvr102902	2017-08-31 08:09:40GMT
es20171107_2bve000211	2018-03-07 13:56:04GMT
rk20110530_1bvr326908	2017-08-31 13:14:40GMT
rk20000918_2bvr140700	2017-08-31 08:50:20GMT
rk19991111_2bvr199299	2017-08-31 09:06:22GMT
rs20110111_1bvr329507	2017-08-31 13:20:18GMT
rk20050415_1bvr095204	2017-08-31 11:08:56GMT
rk20100928_1bvr117908	2017-08-31 13:24:44GMT
ls20040623_1bvl000398	2017-08-31 11:18:54GMT
rk20050426_1bvr192404	2017-08-31 11:08:26GMT
rk20121114_1bvr295308	2017-08-31 12:53:22GMT
rk20010703_1bvr104300	2017-08-31 08:34:32GMT
rk20170704_2bvr215715	2017-08-31 11:45:00GMT
rk20070329_2bvr197706	2017-08-31 10:40:42GMT
rk20080613_1bvr292406	2017-08-31 10:24:20GMT
rk20030603_2bvr044203	2017-08-31 11:35:24GMT
rk20040915_1bvr048704	2017-08-31 11:15:36GMT
rk20020722_1bvr013195	2017-08-31 08:13:24GMT
rk20100816_1bvr175009	2017-08-31 13:27:30GMT
rk20120521_1bvr184110	2017-08-31 12:59:10GMT
rk20010703_2bvr102201	2017-08-31 08:34:16GMT
rk20090629_1bvr295907	2017-08-31 10:07:28GMT
rk20050912_2bvr154505	2017-08-31 11:03:04GMT
rk19980729_1bvr033398	2017-08-31 09:25:10GMT
qs20040623a_1bvq001904	2017-08-31 11:18:48GMT
rk20091201_1bvr194109	2017-08-31 09:59:54GMT
rk20120925_2bvr281911	2017-08-31 12:54:56GMT
cs20001009_2bvc000200	2017-08-31 08:47:58GMT
rk20150727_1bvr156015	2017-08-31 12:21:32GMT
rk19990217_1bvr142292	2017-08-31 09:18:00GMT
rk20050318_1bvr058405	2017-08-31 11:09:36GMT
rk19990225_2bvr054896	2017-08-31 09:17:08GMT
rk20030214_2bvr186700	2017-08-31 11:40:40GMT
rk20070731_1bvr094607	2017-08-31 10:35:46GMT
rk20161213_2bvr087116	2017-08-31 11:54:56GMT
rk20080213_2bvr004208	2017-08-31 10:29:48GMT
rk20041008_1bvr070203	2017-08-31 11:15:12GMT
rk20140227_2bvr026114	2017-08-31 12:38:36GMT
rk20140903_1bvr056512	2017-08-31 12:32:52GMT
rk20000718_2bvr150191	2017-08-31 08:53:12GMT
rk20170629_1bvr102117	2017-08-31 11:45:12GMT
rk20050214_1bvr019905	2017-08-31 11:10:58GMT
rk20010814_2bvr114000	2017-08-31 08:31:56GMT
gs20011205_2bvg000100	2017-08-31 08:25:38GMT
rk20010703_2bvr100801	2017-08-31 08:34:18GMT
rk20030602_2bvr059203	2017-08-31 11:35:40GMT
qk20170627_2bvq003217	2017-08-31 11:45:34GMT
rk20030318_1bvr032903	2017-08-31 11:38:54GMT
ls20100414_1bvl000808	2017-08-31 13:32:30GMT
rk20071107_1bvr184007	2017-08-31 10:34:06GMT
rk20171120_1bvr072117	2018-03-07 13:57:16GMT
rk20040804_1bvr107804	2017-08-31 11:16:38GMT
rk20000409_2bvr076696	2017-08-31 08:56:42GMT
rs20081125_1bvr084807	2017-08-31 10:18:14GMT
rk20060928_2bvr087606	2017-08-31 10:46:36GMT
rk20110426_2bvr059711	2017-08-31 13:16:04GMT
rk20000110_1bvr139899	2017-08-31 09:02:58GMT
rk20100914_1bvr150410	2017-08-31 13:25:36GMT
rk19990315_2bvr230794	2017-08-31 09:15:48GMT
rk20070226_1bvr047405	2017-08-31 10:42:12GMT
rk20030430_2bvr028303	2017-08-31 11:37:06GMT
rk20080506_2bvr033708	2017-08-31 10:25:20GMT
rk20090527_1bvr068509	2017-08-31 10:08:48GMT
ls20140212_1bvl001110	2017-08-31 12:39:16GMT
fs20100907_2bvf000109	2017-08-31 13:26:12GMT
rk20141010_1bvr085613	2017-08-31 12:31:32GMT
rk20090709_2bvr111905	2017-08-31 10:06:18GMT
rk20150624_1bvr048614	2017-08-31 12:23:38GMT
ls20011121_1bvl001993	2017-08-31 08:26:00GMT
rk20041221_1bvr265203	2017-08-31 11:12:28GMT
rk20010109_1bvr187196	2017-08-31 08:43:42GMT
rk20010213_1bvr010401	2017-08-31 08:41:20GMT
rk20081209_2bvr194806	2017-08-31 10:16:50GMT
rk20100310_2bvr094109	2017-08-31 13:34:08GMT
rk20020429_1bvr203996	2017-08-31 08:16:52GMT
rk20000925_1bvr046400	2017-08-31 08:49:44GMT
rk20070612_1bvr101407	2017-08-31 10:38:08GMT
rk20090625_1bvr100307	2017-08-31 10:07:38GMT
rk20020217_2bvr186201	2017-08-31 08:20:48GMT
rk20101117_1bvr211810	2017-08-31 13:22:12GMT
rk20150417_1bvr327608	2017-08-31 12:26:06GMT
rk20141015_2bvr092014	2017-08-31 12:31:24GMT
rk20010306_1bvr229200	2017-08-31 08:40:10GMT
rs20140114_2bvr272813	2017-08-31 12:40:18GMT
rk20101208_1bvr116309	2017-08-31 13:21:22GMT
qk20000312_1bvq000500	2017-08-31 08:58:44GMT
rk19991021_2bvr194099	2017-08-31 09:07:14GMT
rk20090629_2bvr221105	2017-08-31 10:07:18GMT
hs20040226_2bvh000104	2017-08-31 11:25:08GMT
rk20080303_2bvr267207	2017-08-31 10:28:06GMT
rk20060323_1bvr020403	2017-08-31 10:56:06GMT
rk20001214_2bvr174199	2017-08-31 08:44:50GMT
qk20100310_2bvq001010	2017-08-31 09:56:28GMT
rk20020415_1bvr068002	2017-08-31 08:17:24GMT
rk20081209_2bvr238608	2017-08-31 10:17:08GMT
rs20050405_1bvr077402	2017-08-31 11:09:14GMT
rk20020312_2bvr018301	2017-08-31 08:19:06GMT
rk20000930_2bvr070896	2017-08-31 08:49:12GMT
rk20050628_2bvr101905	2017-08-31 11:06:40GMT
bs20140128_2bvb000113	2017-08-31 12:39:40GMT
rk20081112_1bvr245606	2017-08-31 10:18:34GMT
rk20121204_2bvr295409	2017-08-31 12:51:56GMT
rk20070320_1bvr014207	2017-08-31 10:40:58GMT
rk20110720_1bvr262405	2017-08-31 13:12:24GMT
rk20120109_1bvr181911	2017-08-31 13:05:10GMT
rk20160421_2bvr142215	2017-08-31 12:08:00GMT
cs20170725_2bvc000217	2017-08-31 11:43:38GMT
rk20090401_2bvr053209	2017-08-31 10:11:22GMT
rk20101208_1bvr118810	2017-08-31 13:21:18GMT
rk20100719_1bvr187309	2017-08-31 13:28:52GMT
rk20020826_1bvr094701	2017-08-31 08:11:30GMT
rk20110201_1bvr238310	2017-08-31 13:19:50GMT
rk20161202_1bvr028114	2017-08-31 11:55:30GMT
rk20040114_1bvr050603	2017-08-31 11:27:14GMT
ls20171219_1bvl000314	2018-03-07 13:55:35GMT
rk20081205_1bvr131807	2017-08-31 10:17:34GMT
rk20011115_1bvr079401	2017-08-31 08:26:14GMT
rk20100916_2bvr234908	2017-08-31 13:25:10GMT
rk20020809_2bvr160500	2017-08-31 08:12:08GMT
rk20010926_1bvr142601	2017-08-31 08:29:44GMT
rk20000530_2bvr082200	2017-08-31 08:54:50GMT
rk20071219_1bvr153307	2017-08-31 10:32:46GMT
lk19980916_1bvl002194	2017-08-31 09:23:40GMT
rk20000706_1bvr112599	2017-08-31 08:53:24GMT
qk20010824_1bvq003501	2017-08-31 08:31:02GMT
rk20070622_2bvr104607	2017-08-31 10:37:10GMT
rk20131029_2bvr111912	2017-08-31 12:42:18GMT
rk20010911_2bvr072301	2017-08-31 08:30:36GMT
rk20040204_1bvr059603	2017-08-31 11:25:54GMT
rk20080304_2bvr211107	2017-08-31 10:27:58GMT
rk20130412_1bvr099013	2017-08-31 12:48:10GMT
rk20010606_2bvr082801	2017-08-31 08:35:26GMT
rk20150717_2bvr124515	2017-09-19 13:57:44GMT
rk20100819_1bvr046510	2017-08-31 13:27:14GMT
rk20080129_2bvr226207	2017-08-31 10:31:02GMT
rk20030930_1bvr073201	2017-08-31 11:32:14GMT
fs20010213_2bvf000297	2017-08-31 08:41:24GMT
rk20060621_1bvr164405	2017-08-31 10:52:06GMT
rk20040315_2bvr153003	2017-08-31 11:23:40GMT
rs20110125_1bvr091810	2017-08-31 13:20:06GMT
qk20090224_1bvq000709	2017-08-31 10:13:42GMT
rk20070924_2bvr167303	2017-08-31 10:34:56GMT
rk20051215_2bvr020505	2017-08-31 10:59:54GMT
rk20100608_2bvr043207	2017-08-31 13:30:36GMT
rk20010507_2bvr018801	2017-08-31 08:36:44GMT
rk20160404_1bvr260715	2017-08-31 12:09:04GMT
ls19981110_1bvl005092	2017-08-31 09:21:42GMT
rs20030211_1bvr197200	2017-08-31 11:41:06GMT
rk20130909_2bvr053313	2017-08-31 12:43:34GMT
rk20061219_1bvr272306	2017-08-31 10:44:08GMT
rs20031209_1bvr055899	2017-08-31 11:28:20GMT
rk20090831_1bvr322708	2017-08-31 10:04:22GMT
es20120228_2bve000811	2017-08-31 13:03:04GMT
rk20021112_1bvr023297	2017-08-31 08:08:20GMT
qs20040623_1bvq001904	2017-08-31 11:18:56GMT
rk20150824_2bvr291514	2017-08-31 12:20:08GMT
rk20120117_1bvr272810	2017-08-31 13:04:50GMT
cs20160220_2bvc003914	2017-08-31 12:11:28GMT
rk20100311_1bvr290908	2017-08-31 13:34:00GMT
rk20030310_1bvr161797	2017-08-31 11:39:28GMT
rk20160914_1bvr130413	2017-08-31 11:59:04GMT
rk20030312_1bvr089401	2017-08-31 11:39:12GMT
rk20090904_2bvr033809	2017-08-31 10:03:38GMT
rk20041022_1bvr194401	2017-08-31 11:14:52GMT
rk20040623_1bvr049600	2017-08-31 11:18:52GMT
rk20061020_2bvr174206	2017-08-31 10:46:08GMT
rk20000126_2bvr010696	2017-08-31 09:02:00GMT
rk20040505_2bvr212303	2017-08-31 11:20:28GMT
cs20001009_2bvc000999	2017-08-31 08:48:16GMT
rk20160321_1bvr005314	2017-08-31 12:09:54GMT
rk20170222_1bvr187715	2017-08-31 11:51:10GMT
cs20130723_2bvc000813	2017-08-31 12:45:04GMT
rk19990823_1bvr216498	2017-08-31 09:09:10GMT
rk20130813_2bvr266006	2017-08-31 12:44:24GMT
rk20111109_1bvr066510	2017-08-31 13:07:50GMT
rk20091229_1bvr178109	2017-08-31 09:59:02GMT
rk20080522_2bvr074908	2017-08-31 10:24:56GMT
rk20140306_1bvr354113	2017-08-31 12:38:14GMT
rk20011015_2bvr142301	2017-08-31 08:28:16GMT
rk20090305_2bvr182405	2017-08-31 10:12:40GMT
rk20010703_1bvr147299	2017-08-31 08:34:28GMT
rk20031002_2bvr066003	2017-08-31 11:31:52GMT
rk20040705_1bvr127104	2017-08-31 11:18:08GMT
rk20070717_1bvr171007	2017-08-31 10:36:10GMT
rk19981126_1bvr206998	2017-08-31 09:20:52GMT
qk20171012_2bvq006617	2020-08-27 10:16:22GMT
rk19991117_1bvr170899	2017-08-31 09:05:50GMT
rs20100127_2bvr218504	2017-08-31 09:58:00GMT
lk20060418_2bvl000805	2017-08-31 10:55:06GMT
rk20020923_1bvr171700	2017-08-31 08:10:54GMT
rk20170131_1bvr271016	2017-08-31 11:52:06GMT
rk20010525_2bvr077300	2017-08-31 08:35:44GMT
rk20120210_2bvr022812	2017-08-31 13:03:24GMT
rk20091208_1bvr304106	2017-08-31 09:59:38GMT
rs20040414_1bvr229894	2017-08-31 11:22:02GMT
rk20161207_2bvr160216	2017-08-31 11:55:08GMT
fs20040727_2bvf000202	2017-08-31 11:17:20GMT
rk20080724_1bvr074608	2017-08-31 10:23:10GMT
rk20060705_2bvr131705	2017-08-31 10:51:00GMT
rk20060926_2bvr173104	2017-08-31 10:46:50GMT
rk20080130_1bvr094307	2017-08-31 10:30:48GMT
fs20050718_2bvf000201	2017-08-31 11:05:00GMT
rk20001019_1bvr236598	2017-08-31 08:47:30GMT
rk20000203_2bvr006600	2017-08-31 09:01:46GMT
rs20041124_2bvr223604	2017-08-31 11:14:04GMT
rk20010523_2bvr232500	2017-08-31 08:35:58GMT
rk19980302_2bvr053097	2017-08-31 09:31:50GMT
rk20060327_1bvr018106	2017-08-31 10:55:58GMT
rk20141204_2bvr197813	2017-08-31 12:30:14GMT
rk20150115_1bvr049912	2017-08-31 12:28:42GMT
rk20130117_2bvr209812	2017-08-31 12:50:40GMT
rk20121114_1bvr324008	2017-08-31 12:53:08GMT
rk20020205_2bvr045501	2017-08-31 08:21:22GMT
rk20050906_1bvr116103	2017-08-31 11:03:12GMT
rk20160825_2bvr171416	2017-08-31 11:59:42GMT
rk20050318_1bvr014305	2017-08-31 11:09:32GMT
rk20051018_1bvr078703	2017-08-31 11:02:00GMT
lk20140703_2bvl002509	2017-08-31 12:34:36GMT
rs20160420_1bvr096609	2017-08-31 12:08:20GMT
rk20020130_2bvr101800	2017-08-31 08:21:54GMT
rk20091123_1bvr270909	2017-08-31 10:00:16GMT
